criterion_id,criterion_name,priority,weight,score_0_3,max_score,weighted_points,status,evidence_refs,recommended_action,owner
C1,Link and filename freshness,MUST,15,3,3,15.00,PASS,"documentation/team/architecture/clean-architecture.md:8;documentation/team/architecture/ai-decision-trees.md:10;documentation/team/architecture/testing-per-layer.md:10;documentation/team/architecture/refactoring-audit.md:10","Keep link checker in docs QA and block merges on missing local targets",Architecture Doc Owner
C2,Documentation to code alignment,MUST,20,2,3,13.33,PARTIAL,"documentation/team/architecture/clean-architecture.md:15;documentation/team/architecture/clean-architecture.md:24;documentation/team/architecture/clean-architecture.md:33;documentation/team/architecture/clean-architecture.md:40;src/projects/ProjectsRouters.ts:18;src/contracts/milestones/MilestonesRouters.ts:43;src/contracts/ContractOur.ts:4","Continue incremental code migration using touch-and-migrate rule",Architecture Lead
C3,No contradiction in rules,MUST,15,2,3,10.00,PARTIAL,"documentation/team/architecture/clean-architecture.md:15;documentation/team/architecture/clean-architecture.md:24;documentation/team/architecture/clean-architecture.md:40;documentation/team/architecture/ai-decision-trees.md:14","Keep policy explicit and require blocker checks in code review",Architecture Lead
C4,Clear file responsibility boundaries,MUST,10,3,3,10.00,PASS,"documentation/team/architecture/clean-architecture.md;documentation/team/architecture/clean-architecture-details.md;documentation/team/architecture/ai-decision-trees.md;documentation/team/architecture/testing-per-layer.md;documentation/team/architecture/refactoring-audit.md","Preserve one-purpose-per-file and canonical cross-linking",Architecture Doc Owner
C5,No duplication between canonical and adapters,SHOULD,10,3,3,10.00,PASS,"documentation/team/architecture/clean-architecture.md;.github/instructions/architektura.instructions.md","Keep adapter as thin reference only; no long examples duplicated",Tooling Adapter Owner
C6,Human readability,SHOULD,8,3,3,8.00,PASS,"documentation/team/architecture/clean-architecture.md;documentation/team/architecture/refactoring-audit.md","Maintain structure and periodic readability review",Architecture Doc Owner
C7,AI readability and navigation,SHOULD,8,3,3,8.00,PASS,"documentation/team/architecture/ai-decision-trees.md:10;documentation/team/architecture/ai-decision-trees.md:14;documentation/team/architecture/ai-decision-trees.md:484","Keep stable canonical links and policy pointers in AI-oriented docs",Tooling Adapter Owner
C8,Canonical to adapter governance compliance,MUST,8,3,3,8.00,PASS,"documentation/team/operations/docs-map.md:13;documentation/team/operations/docs-map.md:14;.github/instructions/architektura.instructions.md:1;.github/instructions/architektura.instructions.md:13","Enforce canonical-first edits and adapter sync-only updates",Architecture Governance Owner
C9,Testability of architecture guidance,SHOULD,4,3,3,4.00,PASS,"documentation/team/architecture/refactoring-audit.md;documentation/team/architecture/testing-per-layer.md","Keep as baseline and reference from all refactor plans",QA Lead
C10,Multi-agent readiness and skill decision,NICE,2,2,3,1.33,PARTIAL,"documentation/team/operations/docs-map.md:106;documentation/team/operations/docs-map.md:117","Reassess dedicated audit skill after stabilizing migration cadence",AI Workflow Owner
